Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
PANW,,,,,,,,,,292.3099976,3.421025652,,,,
LNG,,,,,,,,,,181,5.524861878,,,,
CRWD,,,,,,,,,,235.7200012,4.242321376,,,,
PLTR,,,,,,,,,,19.93000031,50.17561388,,,,
TEAM,,,,,,,,,,190.25,5.256241787,,,,
LDOS,,,,,,,,,,107.1299973,9.334453707,,,,
PSTG,,,,,,,,,,33.20999908,30.11141306,,,,
ACLS,,,,,,,,,,123.4000015,8.103727615,,,,
CNM,,,,,,,,,,35.11999893,28.47380497,,,,
LBRT,,,,,,,,,,19.67000008,50.83884068,,,,
ANF,,,,,,,,,,75.80999756,13.19087234,,,,
FORM,,,,,,,,,,37.41999817,26.72367849,,,,
CVNA,,,,,,,,,,31.02000046,32.2372658,,,,
SMG,,,,,,,,,,55.63999939,17.97268172,,,,
CNK,,,,,,,,,,14.18999958,70.47216558,,,,
TDS,,,,,,,,,,19.39691779,51.55458258,,,,
DK,,,,,,,,,,27.18000031,36.79175823,,,,
UPWK,,,,,,,,,,14,71.42857143,,,,
AMWD,,,,,,,,,,77.33000183,12.93159157,,,,
EXPI,,,,,,,,,,12.02000046,83.19467237,,,,
JELD,,,,,,,,,,15.88000011,62.97229174,,,,
UNFI,,,,,,,,,,14.5,68.96551724,,,,
LGF-B,,,,,,,,,,8.430000305,118.6239577,,,,
NKLA,,,,,,,,,,0.963,1038.4216,,,,
LAZR,,,,,,,,,,2.480000019,403.2258034,,,,
BKD,,,,,,,,,,5.260000229,190.1140602,,,,
YEXT,,,,,,,,,,6.570000172,152.2069975,,,,
RDFN,,,,,,,,,,6.96999979,143.4720273,,,,
DBI,,,,,,,,,,11.60000038,86.20689372,,,,
SWI,,,,,,,,,,11.59000015,86.28127583,,,,
APPS,,,,,,,,,,4.619999886,216.4502218,,,,
WOW,,,,,,,,,,4.050000191,246.9135686,,,,
